"postcode","street","town","country"
0101,BUREAU DE POSTE LUXEMBOURG-GARE (PACK UP),LUXEMBOURG,LUXEMBOURG
0121,24/24 CLOCHE D'OR (PACK UP),LUXEMBOURG,LUXEMBOURG
0123,HAMM (PACK UP CENTRE DE DISTRIBUTION),LUXEMBOURG,LUXEMBOURG
0124,24/24 HAMM (PACK UP),LUXEMBOURG,LUXEMBOURG
0125,BUREAU DE POSTE LUXEMBOURG-CENTRE HOSPITALIER (PACK UP),LUXEMBOURG,LUXEMBOURG
0131,BUREAU DE POSTE LUXEMBOURG-BONNEVOIE (PACK UP),LUXEMBOURG,LUXEMBOURG
0132,ASSURANCES PAUL HENGEN (PACK UP),LUXEMBOURG,LUXEMBOURG
0141,BUREAU DE POSTE LUXEMBOURG-HOLLERICH (PACK UP),LUXEMBOURG,LUXEMBOURG
0142,BUREAU DE POSTE LUXEMBOURG-BELAIR (PACK UP),LUXEMBOURG,LUXEMBOURG
0143,Q8 EICH (PACK UP STATION-SERVICE),LUXEMBOURG,LUXEMBOURG
0161,24/24 GARE (PACK UP),LUXEMBOURG,LUXEMBOURG
0171,Q8 HAMM (PACK UP STATION-SERVICE),LUXEMBOURG,LUXEMBOURG
0172,POSTSHOP KIRCHBERG (PACK UP),LUXEMBOURG,LUXEMBOURG
0173,24/24 PULVERMUEHLE (PACK UP),LUXEMBOURG,LUXEMBOURG
0181,BUREAU DE POSTE LUXEMBOURG-PARLEMENT EUROPEEN (PACK UP),LUXEMBOURG,LUXEMBOURG
0191,Q8 RTE DE LONGWY (PACK UP STATION-SERVICE),LUXEMBOURG,LUXEMBOURG
0202,BUREAU DE POSTE LUXEMBOURG-CENTRE (PACK UP),LUXEMBOURG,LUXEMBOURG
0211,BUREAU DE POSTE LUXEMBOURG-EICH (PACK UP),LUXEMBOURG,LUXEMBOURG
0212,BUREAU DE POSTE LUXEMBOURG-KIRCHBERG (PACK UP),LUXEMBOURG,LUXEMBOURG
0231,BUREAU DE POSTE LUXEMOURG-LIMPERTSBERG (PACK UP),LUXEMBOURG,LUXEMBOURG
0241,24/24 ROLLINGERGRUND (PACK UP),LUXEMBOURG,LUXEMBOURG
0262,Q8 RTE DE THIONVILLE (PACK UP STATION-SERVICE),LUXEMBOURG,LUXEMBOURG
0271,BUREAU DE POSTE LUXEMBOURG-MONNET (PACK UP),LUXEMBOURG,LUXEMBOURG
0291,POSTSHOP TELEBOUTIQUE CLOCHE D'OR (PACK UP),LUXEMBOURG,LUXEMBOURG
0321,BUREAU DE POSTE BETTEMBOURG (PACK UP),BETTEMBOURG,LUXEMBOURG
0322,24/24 BETTEMBOURG (PACK UP),BETTEMBOURG,LUXEMBOURG
0323,Q8 (PACK UP STATION-SERVICE),BETTEMBOURG,LUXEMBOURG
0324,CT BETTEMBOURG (PACK UP 24/24),BETTEMBOURG,LUXEMBOURG
0325,CT BETTEMBOURG (PACK UP),BETTEMBOURG,LUXEMBOURG
0342,24/24 DUDELANGE (PACK UP),DUDELANGE,LUXEMBOURG
0361,BUREAU DE POSTE KAYL (PACK UP),KAYL,LUXEMBOURG
0362,24/24 KAYL (PACK UP),KAYL,LUXEMBOURG
